valor_da_conta,gorjeta,sobremesa,dia_da_semana,hora_do_dia,total_de_pessoas,porcentagem
16.99,1.01,Não,Domingo,Jantar,2,0.0594467333725721
10.34,1.66,Não,Domingo,Jantar,3,0.1605415860735009
21.01,3.5,Não,Domingo,Jantar,3,0.1665873393622084
23.68,3.31,Não,Domingo,Jantar,2,0.1397804054054054
24.59,3.61,Não,Domingo,Jantar,4,0.1468076453843025
25.29,4.71,Não,Domingo,Jantar,4,0.1862396204033214
8.77,2.0,Não,Domingo,Jantar,2,0.2280501710376282
26.88,3.12,Não,Domingo,Jantar,4,0.1160714285714285
15.04,1.96,Não,Domingo,Jantar,2,0.1303191489361702
14.78,3.23,Não,Domingo,Jantar,2,0.2185385656292287
10.27,1.71,Não,Domingo,Jantar,2,0.1665043816942551
35.26,5.0,Não,Domingo,Jantar,4,0.1418037436188315
15.42,1.57,Não,Domingo,Jantar,2,0.1018158236057068
18.43,3.0,Não,Domingo,Jantar,4,0.1627780792186652
14.83,3.02,Não,Domingo,Jantar,2,0.2036412677006068
21.58,3.92,Não,Domingo,Jantar,2,0.1816496756255792
10.33,1.67,Não,Domingo,Jantar,3,0.1616650532429816
16.29,3.71,Não,Domingo,Jantar,3,0.2277470841006752
16.97,3.5,Não,Domingo,Jantar,3,0.206246317030053
20.65,3.35,Não,Sábado,Jantar,3,0.162227602905569
17.92,4.08,Não,Sábado,Jantar,2,0.2276785714285714
20.29,2.75,Não,Sábado,Jantar,2,0.1355347461803844
15.77,2.23,Não,Sábado,Jantar,2,0.1414077362079898
39.42,7.58,Não,Sábado,Jantar,4,0.1922881785895484
19.82,3.18,Não,Sábado,Jantar,2,0.160443995963673
17.81,2.34,Não,Sábado,Jantar,4,0.1313868613138686
13.37,2.0,Não,Sábado,Jantar,2,0.1495886312640239
12.69,2.0,Não,Sábado,Jantar,2,0.1576044129235618
21.7,4.3,Não,Sábado,Jantar,2,0.1981566820276497
19.65,3.0,Não,Sábado,Jantar,2,0.1526717557251908
9.55,1.45,Não,Sábado,Jantar,2,0.1518324607329843
18.35,2.5,Não,Sábado,Jantar,4,0.1362397820163487
15.06,3.0,Não,Sábado,Jantar,2,0.199203187250996
20.69,2.45,Não,Sábado,Jantar,4,0.1184146930884485
17.78,3.27,Não,Sábado,Jantar,2,0.1839145106861642
24.06,3.6,Não,Sábado,Jantar,3,0.1496259351620947
16.31,2.0,Não,Sábado,Jantar,3,0.1226241569589209
16.93,3.07,Não,Sábado,Jantar,3,0.1813349084465446
18.69,2.31,Não,Sábado,Jantar,3,0.1235955056179775
31.27,5.0,Não,Sábado,Jantar,3,0.1598976654940838
16.04,2.24,Não,Sábado,Jantar,3,0.1396508728179551
17.46,2.54,Não,Domingo,Jantar,2,0.1454753722794959
13.94,3.06,Não,Domingo,Jantar,2,0.2195121951219512
9.68,1.32,Não,Domingo,Jantar,2,0.1363636363636363
30.4,5.6,Não,Domingo,Jantar,4,0.1842105263157894
18.29,3.0,Não,Domingo,Jantar,2,0.164024056861673
22.23,5.0,Não,Domingo,Jantar,2,0.2249212775528564
32.4,6.0,Não,Domingo,Jantar,4,0.1851851851851852
28.55,2.05,Não,Domingo,Jantar,3,0.0718038528896672
18.04,3.0,Não,Domingo,Jantar,2,0.1662971175166297
12.54,2.5,Não,Domingo,Jantar,2,0.1993620414673046
10.29,2.6,Não,Domingo,Jantar,2,0.2526724975704568
34.81,5.2,Não,Domingo,Jantar,4,0.149382361390405
9.94,1.56,Não,Domingo,Jantar,2,0.1569416498993963
25.56,4.34,Não,Domingo,Jantar,4,0.1697965571205008
19.49,3.51,Não,Domingo,Jantar,2,0.1800923550538737
38.01,3.0,Sim,Sábado,Jantar,4,0.0789265982636148
26.41,1.5,Não,Sábado,Jantar,2,0.0567966679288148
11.24,1.76,Sim,Sábado,Jantar,2,0.1565836298932384
48.27,6.73,Não,Sábado,Jantar,4,0.1394240729231406
20.29,3.21,Sim,Sábado,Jantar,2,0.1582060128141942
13.81,2.0,Sim,Sábado,Jantar,2,0.1448225923244026
11.02,1.98,Sim,Sábado,Jantar,2,0.1796733212341197
18.29,3.76,Sim,Sábado,Jantar,4,0.2055768179332968
17.59,2.64,Não,Sábado,Jantar,3,0.1500852757248436
20.08,3.15,Não,Sábado,Jantar,3,0.1568725099601593
16.45,2.47,Não,Sábado,Jantar,2,0.1501519756838906
3.07,1.0,Sim,Sábado,Jantar,1,0.3257328990228013
20.23,2.01,Não,Sábado,Jantar,2,0.0993573900148294
15.01,2.09,Sim,Sábado,Jantar,2,0.1392405063291139
12.02,1.97,Não,Sábado,Jantar,2,0.1638935108153078
17.07,3.0,Não,Sábado,Jantar,3,0.1757469244288225
26.86,3.14,Sim,Sábado,Jantar,2,0.1169024571854058
25.28,5.0,Sim,Sábado,Jantar,2,0.1977848101265822
14.73,2.2,Não,Sábado,Jantar,2,0.1493550577053632
10.51,1.25,Não,Sábado,Jantar,2,0.1189343482397716
17.92,3.08,Sim,Sábado,Jantar,2,0.171875
27.2,4.0,Não,Quita-Feira,Almoço,4,0.1470588235294117
22.76,3.0,Não,Quita-Feira,Almoço,2,0.1318101933216168
17.29,2.71,Não,Quita-Feira,Almoço,2,0.156737998843262
19.44,3.0,Sim,Quita-Feira,Almoço,2,0.1543209876543209
16.66,3.4,Não,Quita-Feira,Almoço,2,0.2040816326530612
10.07,1.83,Não,Quita-Feira,Almoço,1,0.1817279046673287
32.68,5.0,Sim,Quita-Feira,Almoço,2,0.1529987760097919
15.98,2.03,Não,Quita-Feira,Almoço,2,0.1270337922403003
34.83,5.17,Não,Quita-Feira,Almoço,4,0.1484352569623887
13.03,2.0,Não,Quita-Feira,Almoço,2,0.1534919416730621
18.28,4.0,Não,Quita-Feira,Almoço,2,0.2188183807439825
24.71,5.85,Não,Quita-Feira,Almoço,2,0.2367462565762848
21.16,3.0,Não,Quita-Feira,Almoço,2,0.1417769376181474
28.97,3.0,Sim,Sexta-Feira,Jantar,2,0.1035554021401449
22.49,3.5,Não,Sexta-Feira,Jantar,2,0.1556247220987105
5.75,1.0,Sim,Sexta-Feira,Jantar,2,0.1739130434782608
16.32,4.3,Sim,Sexta-Feira,Jantar,2,0.2634803921568627
22.75,3.25,Não,Sexta-Feira,Jantar,2,0.1428571428571428
40.17,4.73,Sim,Sexta-Feira,Jantar,4,0.1177495643515061
27.28,4.0,Sim,Sexta-Feira,Jantar,2,0.1466275659824046
12.03,1.5,Sim,Sexta-Feira,Jantar,2,0.1246882793017456
21.01,3.0,Sim,Sexta-Feira,Jantar,2,0.1427891480247501
12.46,1.5,Não,Sexta-Feira,Jantar,2,0.1203852327447833
11.35,2.5,Sim,Sexta-Feira,Jantar,2,0.2202643171806167
15.38,3.0,Sim,Sexta-Feira,Jantar,2,0.1950585175552665
44.3,2.5,Sim,Sábado,Jantar,3,0.0564334085778781
22.42,3.48,Sim,Sábado,Jantar,2,0.1552185548617305
20.92,4.08,Não,Sábado,Jantar,2,0.1950286806883365
15.36,1.64,Sim,Sábado,Jantar,2,0.1067708333333333
20.49,4.06,Sim,Sábado,Jantar,2,0.1981454367984382
25.21,4.29,Sim,Sábado,Jantar,2,0.1701705672352241
18.24,3.76,Não,Sábado,Jantar,2,0.2061403508771929
14.31,4.0,Sim,Sábado,Jantar,2,0.2795248078266946
14.0,3.0,Não,Sábado,Jantar,2,0.2142857142857142
7.25,1.0,Não,Sábado,Jantar,1,0.1379310344827586
38.07,4.0,Não,Domingo,Jantar,3,0.1050696086157079
23.95,2.55,Não,Domingo,Jantar,2,0.1064718162839248
25.71,4.0,Não,Domingo,Jantar,3,0.1555814858031894
17.31,3.5,Não,Domingo,Jantar,2,0.2021952628538417
29.93,5.07,Não,Domingo,Jantar,4,0.1693952555963916
10.65,1.5,Não,Quita-Feira,Almoço,2,0.1408450704225352
12.43,1.8,Não,Quita-Feira,Almoço,2,0.1448109412711182
24.08,2.92,Não,Quita-Feira,Almoço,4,0.1212624584717608
11.69,2.31,Não,Quita-Feira,Almoço,2,0.1976047904191616
13.42,1.68,Não,Quita-Feira,Almoço,2,0.1251862891207153
14.26,2.5,Não,Quita-Feira,Almoço,2,0.1753155680224404
15.95,2.0,Não,Quita-Feira,Almoço,2,0.1253918495297805
12.48,2.52,Não,Quita-Feira,Almoço,2,0.2019230769230769
29.8,4.2,Não,Quita-Feira,Almoço,6,0.1409395973154362
8.52,1.48,Não,Quita-Feira,Almoço,2,0.1737089201877934
14.52,2.0,Não,Quita-Feira,Almoço,2,0.1377410468319559
11.38,2.0,Não,Quita-Feira,Almoço,2,0.1757469244288224
22.82,2.18,Não,Quita-Feira,Almoço,3,0.0955302366345311
19.08,1.5,Não,Quita-Feira,Almoço,2,0.0786163522012578
20.27,2.83,Não,Quita-Feira,Almoço,2,0.1396151948692649
11.17,1.5,Não,Quita-Feira,Almoço,2,0.1342882721575649
12.26,2.0,Não,Quita-Feira,Almoço,2,0.1631321370309951
18.26,3.25,Não,Quita-Feira,Almoço,2,0.1779846659364731
8.51,1.25,Não,Quita-Feira,Almoço,2,0.1468860164512338
