, valor_da_conta,gorjeta,sobremesa,dia_da_semana,hora_do_dia,total_de_pessoas
0,16.99,1.01,Não,Domingo,,2
1,10.34,1.66,Não,Domingo,,3
2,21.01,3.5,Não,Domingo,,3
3,23.68,3.31,Não,Domingo,,2
4,24.59,3.61,Não,Domingo,,4
5,25.29,4.71,Não,Domingo,,4
6,8.77,2.0,Não,Domingo,,2
7,26.88,3.12,Não,Domingo,,4
8,15.04,1.96,Não,Domingo,,2
9,14.78,3.23,Não,Domingo,,2
10,10.27,1.71,Não,Domingo,,2
11,35.26,5.0,Não,Domingo,,4
12,15.42,1.57,Não,Domingo,,2
13,18.43,3.0,Não,Domingo,,4
14,14.83,3.02,Não,Domingo,,2
15,21.58,3.92,Não,Domingo,,2
16,10.33,1.67,Não,Domingo,,3
17,16.29,3.71,Não,Domingo,,3
18,16.97,3.5,Não,Domingo,,3
19,20.65,3.35,Não,Sábado,,3
20,17.92,4.08,Não,Sábado,,2
21,20.29,2.75,Não,Sábado,,2
22,15.77,2.23,Não,Sábado,,2
23,39.42,7.58,Não,Sábado,,4
24,19.82,3.18,Não,Sábado,,2
25,17.81,2.34,Não,Sábado,,4
26,13.37,2.0,Não,Sábado,,2
27,12.69,2.0,Não,Sábado,,2
28,21.7,4.3,Não,Sábado,,2
29,19.65,3.0,Não,Sábado,,2
30,9.55,1.45,Não,Sábado,,2
31,18.35,2.5,Não,Sábado,,4
32,15.06,3.0,Não,Sábado,,2
33,20.69,2.45,Não,Sábado,,4
34,17.78,3.27,Não,Sábado,,2
35,24.06,3.6,Não,Sábado,,3
36,16.31,2.0,Não,Sábado,,3
37,16.93,3.07,Não,Sábado,,3
38,18.69,2.31,Não,Sábado,,3
39,31.27,5.0,Não,Sábado,,3
40,16.04,2.24,Não,Sábado,,3
41,17.46,2.54,Não,Domingo,,2
42,13.94,3.06,Não,Domingo,,2
43,9.68,1.32,Não,Domingo,,2
44,30.4,5.6,Não,Domingo,,4
45,18.29,3.0,Não,Domingo,,2
46,22.23,5.0,Não,Domingo,,2
47,32.4,6.0,Não,Domingo,,4
48,28.55,2.05,Não,Domingo,,3
49,18.04,3.0,Não,Domingo,,2
50,12.54,2.5,Não,Domingo,,2
51,10.29,2.6,Não,Domingo,,2
52,34.81,5.2,Não,Domingo,,4
53,9.94,1.56,Não,Domingo,,2
54,25.56,4.34,Não,Domingo,,4
55,19.49,3.51,Não,Domingo,,2
56,38.01,3.0,Sim,Sábado,,4
57,26.41,1.5,Não,Sábado,,2
58,11.24,1.76,Sim,Sábado,,2
59,48.27,6.73,Não,Sábado,,4
60,20.29,3.21,Sim,Sábado,,2
61,13.81,2.0,Sim,Sábado,,2
62,11.02,1.98,Sim,Sábado,,2
63,18.29,3.76,Sim,Sábado,,4
64,17.59,2.64,Não,Sábado,,3
65,20.08,3.15,Não,Sábado,,3
66,16.45,2.47,Não,Sábado,,2
67,3.07,1.0,Sim,Sábado,,1
68,20.23,2.01,Não,Sábado,,2
69,15.01,2.09,Sim,Sábado,,2
70,12.02,1.97,Não,Sábado,,2
71,17.07,3.0,Não,Sábado,,3
72,26.86,3.14,Sim,Sábado,,2
73,25.28,5.0,Sim,Sábado,,2
74,14.73,2.2,Não,Sábado,,2
75,10.51,1.25,Não,Sábado,,2
76,17.92,3.08,Sim,Sábado,,2
77,27.2,4.0,Não,Quita-Feira,,4
78,22.76,3.0,Não,Quita-Feira,,2
79,17.29,2.71,Não,Quita-Feira,,2
80,19.44,3.0,Sim,Quita-Feira,,2
81,16.66,3.4,Não,Quita-Feira,,2
82,10.07,1.83,Não,Quita-Feira,,1
83,32.68,5.0,Sim,Quita-Feira,,2
84,15.98,2.03,Não,Quita-Feira,,2
